"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7897202064316126,0,"all","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7261596329054596,1,"all","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7466717874137387,2,"all","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.7954358371018035,3,"all","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.8037388829402019,4,"all","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7354038731889132,0,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.6728030976098079,1,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.6883879088011997,2,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.72209358302043,3,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7069457341187446,4,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.8057677138241583,0,"all","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7183089676422951,1,"all","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7701397265170532,2,"all","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.7846306582320515,3,"all","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.791290907214032,4,"all","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7791778272762011,0,"all","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7216513805128248,1,"all","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7734735372225308,2,"all","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.8028689411699299,3,"all","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7887970673494128,4,"all","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7668682565299897,0,"all","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7407880974860119,1,"all","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.758185139417799,2,"all","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.7910958130092985,3,"all","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7984097418707691,4,"all","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.795506005335381,0,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.744551150565621,1,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7850325018483932,2,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.8224548904366037,3,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7859898187793237,4,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7895824018886802,0,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7513274945385445,1,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.752373654772279,2,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.8059680891775116,3,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7626005713408406,4,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7811778751698868,0,"all","TabPFN-v2 🤯","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7275078847116849,1,"all","TabPFN-v2 🤯","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.71759519795019,2,"all","TabPFN-v2 🤯","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.7484667501933859,3,"all","TabPFN-v2 🤯","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.721596517377844,4,"all","TabPFN-v2 🤯","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.8157328044721066,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7714419813203781,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.8030879907604971,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.8295462582522836,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.8191155842958602,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7503057706702121,0,"all","XGBoost 🌲","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.6827804644070354,1,"all","XGBoost 🌲","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7117545313805607,2,"all","XGBoost 🌲","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.7793218209672949,3,"all","XGBoost 🌲","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7537449696101017,4,"all","XGBoost 🌲","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7939238274917605,0,"ft","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7256872431444625,1,"ft","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.760650033095047,2,"ft","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.8047439099606641,3,"ft","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7939687261238046,4,"ft","CatBoost 😸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7373599568754852,0,"ft","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.6746946154100504,1,"ft","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.6889349943436907,2,"ft","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.7266685067230481,3,"ft","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7069642464171131,4,"ft","TabDPT 6️⃣","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7966362052683507,0,"ft","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7231961901995516,1,"ft","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7698294822595724,2,"ft","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.7893491306936318,3,"ft","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7845828766090238,4,"ft","LightGBM 💡","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7607462652450867,0,"ft","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7489258118647735,1,"ft","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7786707725171533,2,"ft","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.8099677250283198,3,"ft","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7669347995556658,4,"ft","RealMLP 🕸","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7701872262834946,0,"ft","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7368340707889955,1,"ft","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7526276453643898,2,"ft","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.7936358438921398,3,"ft","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7966569943064715,4,"ft","RandomForest 🌳","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7992265125361399,0,"ft","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7431047291078754,1,"ft","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_2",0.7862825343387936,2,"ft","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_3",0.8260212271540945,3,"ft","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_FIFA22_WAGES_4",0.7896129782385317,4,"ft","TabICLv2 🗼","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_FIFA22_WAGES_0",0.7940342821191384,0,"ft","TabM Ⓜ️","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_FIFA22_WAGES_1",0.7391184355767377,1,"ft","TabM Ⓜ️","","REG_TEXT_SPORTS_FIFA22_WAGES","","nlp-srv2.iem.technion.ac.il","finished"
