"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_0",0.7253806594067105,0,"all","CatBoost 😸","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_1",0.7419329176198322,1,"all","CatBoost 😸","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_2",0.7464817933631973,2,"all","CatBoost 😸","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_3",0.7529210766838057,3,"all","CatBoost 😸","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_4",0.7428141124124087,4,"all","CatBoost 😸","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_0",0.5928795765781191,0,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_1",0.5997941704973255,1,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_2",0.6018418718887413,2,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_3",0.6142241269220025,3,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_4",0.6025245773823196,4,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_0",0.6994080051651175,0,"all","LightGBM 💡","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_1",0.7269755290521271,1,"all","LightGBM 💡","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_2",0.7308671542718566,2,"all","LightGBM 💡","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_3",0.7342091572684996,3,"all","LightGBM 💡","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_4",0.7289064625436386,4,"all","LightGBM 💡","","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","","nlp-srv2.iem.technion.ac.il","finished"
