"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_MUL_TEXT_FOOD_YELP_REVIEWS_0",0.8991888541400991,0,"all","CatBoost 😸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_FOOD_YELP_REVIEWS_1",0.9058341712703658,1,"all","CatBoost 😸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_FOOD_YELP_REVIEWS_2",0.9050345270711444,2,"all","CatBoost 😸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_FOOD_YELP_REVIEWS_3",0.8987490360641596,3,"all","CatBoost 😸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_FOOD_YELP_REVIEWS_4",0.8953519899958564,4,"all","CatBoost 😸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_FOOD_YELP_REVIEWS_0",0.8668940591406546,0,"all","TabDPT 6️⃣","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_FOOD_YELP_REVIEWS_1",0.8650643223747286,1,"all","TabDPT 6️⃣","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_FOOD_YELP_REVIEWS_2",0.8730497250948265,2,"all","TabDPT 6️⃣","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_FOOD_YELP_REVIEWS_3",0.8694775549615776,3,"all","TabDPT 6️⃣","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_FOOD_YELP_REVIEWS_4",0.867663681348074,4,"all","TabDPT 6️⃣","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_FOOD_YELP_REVIEWS_0",0.8963562855861369,0,"all","LightGBM 💡","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_FOOD_YELP_REVIEWS_1",0.8986461567962347,1,"all","LightGBM 💡","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_FOOD_YELP_REVIEWS_2",0.8949014605503567,2,"all","LightGBM 💡","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_FOOD_YELP_REVIEWS_3",0.8913653223256531,3,"all","LightGBM 💡","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_FOOD_YELP_REVIEWS_4",0.8898834093282636,4,"all","LightGBM 💡","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_FOOD_YELP_REVIEWS_0",0.8691169535195566,0,"all","RealMLP 🕸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_FOOD_YELP_REVIEWS_1",0.8693211185103003,1,"all","RealMLP 🕸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_FOOD_YELP_REVIEWS_2",0.8780926886552809,2,"all","RealMLP 🕸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_FOOD_YELP_REVIEWS_3",0.8758425047411713,3,"all","RealMLP 🕸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_FOOD_YELP_REVIEWS_4",0.8765138930401776,4,"all","RealMLP 🕸","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_FOOD_YELP_REVIEWS_0",0.8920508755527312,0,"all","RandomForest 🌳","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_FOOD_YELP_REVIEWS_1",0.8947902403287846,1,"all","RandomForest 🌳","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_FOOD_YELP_REVIEWS_2",0.8887988159276621,2,"all","RandomForest 🌳","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_FOOD_YELP_REVIEWS_3",0.8848922856166727,3,"all","RandomForest 🌳","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_FOOD_YELP_REVIEWS_4",0.8842528547636409,4,"all","RandomForest 🌳","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv2.iem.technion.ac.il","finished"
"tabfm_MUL_TEXT_FOOD_YELP_REVIEWS_0",0.8734615191990706,0,"all","TabFM 🇬","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_MUL_TEXT_FOOD_YELP_REVIEWS_1",0.8745643741737561,1,"all","TabFM 🇬","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_MUL_TEXT_FOOD_YELP_REVIEWS_2",0.8825083896951307,2,"all","TabFM 🇬","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_MUL_TEXT_FOOD_YELP_REVIEWS_3",0.8802486757733465,3,"all","TabFM 🇬","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_MUL_TEXT_FOOD_YELP_REVIEWS_4",0.8773724783239804,4,"all","TabFM 🇬","","MUL_TEXT_FOOD_YELP_REVIEWS","","nlp-srv3.dds.technion.ac.il","finished"
