ref,status,encoding,csv,n_rows,n_text,n_num,n_cat,text_cols,problems,viable,real_text,n_real_text,score
meruvakodandasuraj/video-game-sales-and-metacritic-intelligence-198026,ok,utf-8,games.csv,50000,2,24,9,game_id|title,,True,['title'],1,31
beridzeg45/watch-prices-dataset,ok,utf-8,watches (cleaned).csv,45024,1,10,12,Brand,,True,['Brand'],1,20
jacksondivakarr/online-shopping-dataset,ok,utf-8,file.csv,52955,4,12,5,Date|Product_Description|Product_SKU|Transaction_Date,,True,['Product_Description'],1,15
sridipbasu/global-food-nutrition-dataset-pricing-and-rating,ok,utf-8,food_menu_nutrition_dataset.csv,7500,1,10,7,item_name,,True,['item_name'],1,15
satyakidas07/retail-sales-dataset,ok,utf-8,retail_sales_dataset.csv,4310,4,9,8,customer_id|customer_name|order_date|order_id,,True,['customer_name'],1,15
mansiaggarwal88/global-trending-topics-dataset,ok,utf-8,global_trending_topics.csv,6960,2,6,10,topic|url,,True,['topic'],1,14
tolstoyjustin/kerala-bevco-liquor-price-list-2025-2026,ok,utf-8,PriceList_Dataset.csv,4389,2,14,1,Description|Product Code,,True,['Description'],1,13
sridipbasu/india-tech-jobs-2024-2026-salary-and-skills,ok,utf-8,india_job_market_2024_2026.csv,5000,3,4,10,Date_Posted|Job_ID|Skills_Required,,True,['Skills_Required'],1,12
nguyentiennhan/vietnam-housing-dataset-2024,ok,utf-8,vietnam_housing_dataset.csv,30229,1,7,4,Address,,True,['Address'],1,9
ahmedfakhar123/used-car-price-prediction-dataset,ok,utf-8,Pakistan_Used_Cars.csv,78630,1,6,3,Car Name,,True,['Car Name'],1,7
ahmedmohamed2003/retail-store-sales-dirty-for-data-cleaning,ok,utf-8,retail_store_sales.csv,12575,3,3,5,Item|Transaction Date|Transaction ID,,True,['Item'],1,6
mvieira101/global-cost-of-living,ok,utf-8,cost-of-living_v2.csv,4956,2,56,0,city|country,,True,"['city', 'country']",2,52
michaelstepanovsky/hotel-data,ok,utf-8,hotel_data.csv,12619,2,49,0,Description|Hotel Name,,True,"['Description', 'Hotel Name']",2,45
neomatrix369/google-play-store-apps-extended,ok,utf-8,extended_googleplaystore_user_reviews.csv,64295,2,21,10,App|Translated_Review,,True,"['App', 'Translated_Review']",2,27
mylesoneill/world-university-rankings,ok,utf-8,educational_attainment_supplementary_data.csv,79055,2,25,0,country_name|series_name,,True,"['country_name', 'series_name']",2,21
suhanigupta04/global-movies-dataset-19502026,ok,utf-8,global_movies_dataset_1950_2026.csv,100000,2,18,7,genre|title,,True,"['genre', 'title']",2,21
thedevastator/get-your-game-on-metacritic-recommendations-and,ok,utf-8,games-features-edit.csv,12624,2,17,0,ReleaseDate|ResponseName,,True,"['ReleaseDate', 'ResponseName']",2,13
jilkothari/finance-accounting-courses-udemy-13k-course,ok,utf-8,udemy_output_All_Finance__Accounting_p1_p626.csv,13608,4,12,4,created|published_time|title|url,,True,"['created', 'title']",2,12
