"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9362099145462356","3","ft","n306","TabM Ⓜ️","2026-04-03T00:25:08.000Z","MUL_TEXT_PRODUCT_SENTIMENT","512","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9349781245445334","3","ft","n311","TabPFN-v2 🤯","2026-04-03T00:25:56.000Z","MUL_TEXT_PRODUCT_SENTIMENT","511","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9336490846109242","3","ft","n309","TabPFN-v2p5 🇩🇪","2026-04-03T00:25:34.000Z","MUL_TEXT_PRODUCT_SENTIMENT","510","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9335996019700096","1","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T00:15:10.000Z","MUL_TEXT_PRODUCT_SENTIMENT","554","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9323302626190962","3","ft","n306","CatBoost 😸","2026-04-03T00:24:47.000Z","MUL_TEXT_PRODUCT_SENTIMENT","513","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9296616019810224","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T00:21:30.000Z","MUL_TEXT_PRODUCT_SENTIMENT","480","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9265624544565152","1","ft","n307","TabPFN-v2 🤯","2026-04-03T00:16:28.000Z","MUL_TEXT_PRODUCT_SENTIMENT","551","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_2","0.926487616663215","2","ft","n306","CatBoost 😸","2026-04-03T00:18:52.000Z","MUL_TEXT_PRODUCT_SENTIMENT","373","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9239962768285336","3","all","n311","TabPFN-v2 🤯","2026-04-03T00:25:44.000Z","MUL_TEXT_PRODUCT_SENTIMENT","52","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_2","0.923449481765625","2","ft","n307","TabM Ⓜ️","2026-04-03T00:20:11.000Z","MUL_TEXT_PRODUCT_SENTIMENT","360","finished"
