ref,status,encoding,csv,n_rows,n_text,n_num,n_cat,text_cols,problems,viable
datasnaek/chess,ok,utf-8,games.csv,20058,7,7,2,black_id|id|increment_code|moves|opening_eco|opening_name,7 multimodal cols > 5,False
CooperUnion/anime-recommendations-database,ok,utf-8,rating.csv,7813737,0,3,0,,no column detected as TEXT (all fell under the cardinality thresholds),False
mylesoneill/world-university-rankings,ok,utf-8,educational_attainment_supplementary_data.csv,79055,2,25,0,country_name|series_name,,True
sudalairajkumar/indian-startup-funding,ok,utf-8,startup_funding.csv,3044,7,1,2,Amount in USD|City  Location|Date dd/mm/yyyy|Industry Vertical|Investors Name|Startup Name,7 multimodal cols > 5,False
thedevastator/unlock-profits-with-e-commerce-sales-data,ok,utf-8,Amazon Sale Report.csv,128975,6,5,13,ASIN|Order ID|SKU|Style|promotion-ids|ship-city,6 multimodal cols > 5,False
adityadesai13/used-car-dataset-ford-and-mercedes,ok,utf-8,ford.csv,17965,0,6,3,,no column detected as TEXT (all fell under the cardinality thresholds),False
shrutimehta/zomato-restaurants-data,ok,latin-1,zomato.csv,9551,6,8,7,Address|City|Cuisines|Locality|Locality Verbose|Restaurant Name,6 multimodal cols > 5,False
nelgiriyewithana/most-streamed-spotify-songs-2024,ok,latin-1,Most Streamed Spotify Songs 2024.csv,4600,22,6,0,AirPlay Spins|Album Name|All Time Rank|Artist|Deezer Playlist Reach|ISRC,23 multimodal cols > 5,False
wardabilal/spotify-global-music-dataset-20092025,ok,utf-8,track_data_final.csv,8778,7,7,1,album_id|album_name|album_release_date|artist_genres|artist_name|track_id,7 multimodal cols > 5,False
danielgrijalvas/movies,ok,utf-8,movies.csv,7668,6,6,3,company|director|name|released|star|writer,6 multimodal cols > 5,False
joebeachcapital/30000-spotify-songs,ok,utf-8,spotify_songs.csv,32833,8,13,2,playlist_id|playlist_name|track_album_id|track_album_name|track_album_release_date|track_artist,8 multimodal cols > 5,False
udacity/armenian-online-job-postings,ok,utf-8,online-job-postings.csv,19001,21,3,0,AboutC|AnnouncementCode|ApplicationP|Attach|Audience|Company,21 multimodal cols > 5,False
kundanbedmutha/exam-score-prediction-dataset,ok,utf-8,Exam_Score_Prediction.csv,20000,0,6,7,,no column detected as TEXT (all fell under the cardinality thresholds),False
anandshaw2001/video-game-sales,ok,utf-8,vgsales.csv,16598,2,7,2,Name|Publisher,,True
nikhilbhathi/data-scientist-salary-us-glassdoor,ok,utf-8,data_cleaned_2021.csv,742,8,25,9,Company Name|Competitors|Headquarters|Job Description|Job Title|Location,8 multimodal cols > 5; only 742 rows (<2000 gives unstable 5-fold means),False
rtatman/questionanswer-dataset,ok,utf-8,text_data_toc.csv,165,1,1,0,file,only 165 rows (<2000 gives unstable 5-fold means),False
