"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.0762967582083478,0,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",-0.3396713068439778,1,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.4006416602898435,2,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.2623463740401091,3,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.2891119986793491,4,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.028371155261993408,0,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",0.2081676721572876,1,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.09703719615936279,2,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.24808311462402344,3,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.1622362732887268,4,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.0350827483683964,0,"all","LightGBM 💡","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",-0.2020603183229554,1,"all","LightGBM 💡","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.1076698256161433,2,"all","LightGBM 💡","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.2891505329347474,3,"all","LightGBM 💡","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.1737819758761145,4,"all","LightGBM 💡","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.46568846702575684,0,"all","RealMLP 🕸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",0.23403984308242798,1,"all","RealMLP 🕸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.600695788860321,2,"all","RealMLP 🕸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.37317895889282227,3,"all","RealMLP 🕸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.4246324300765991,4,"all","RealMLP 🕸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.0332781576798223,0,"all","RandomForest 🌳","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",-0.5194263013152167,1,"all","RandomForest 🌳","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.5559133627049817,2,"all","RandomForest 🌳","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.258633930901748,3,"all","RandomForest 🌳","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.1776399286235116,4,"all","RandomForest 🌳","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.0330424904823303,0,"all","TabICLv2 🗼","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",0.1799232959747314,1,"all","TabICLv2 🗼","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.3682672381401062,2,"all","TabICLv2 🗼","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.3253650665283203,3,"all","TabICLv2 🗼","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.1578633785247802,4,"all","TabICLv2 🗼","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.2177324891090393,0,"all","TabM Ⓜ️","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",0.28617095947265625,1,"all","TabM Ⓜ️","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.705195426940918,2,"all","TabM Ⓜ️","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.3852180242538452,3,"all","TabM Ⓜ️","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.26756006479263306,4,"all","TabM Ⓜ️","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.0415401458740234,0,"all","TabPFN-v2 🤯","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",0.2237498760223388,1,"all","TabPFN-v2 🤯","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.5917671322822571,2,"all","TabPFN-v2 🤯","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.3361768722534179,3,"all","TabPFN-v2 🤯","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.2458205223083496,4,"all","TabPFN-v2 🤯","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.0603334903717041,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",0.1905691027641296,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.3850878477096557,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.3942769765853882,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.1931954026222229,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.007791519165039,0,"all","XGBoost 🌲","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",-1.2440464496612549,1,"all","XGBoost 🌲","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.3193884491920471,2,"all","XGBoost 🌲","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.3783957958221435,3,"all","XGBoost 🌲","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.1409564614295959,4,"all","XGBoost 🌲","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.08021255783966574,0,"ft","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",-0.14969177699991265,1,"ft","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.3772057951387059,2,"ft","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.19454759501704588,3,"ft","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.2644039615803765,4,"ft","CatBoost 😸","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.02846580743789673,0,"ft","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",0.2027108073234558,1,"ft","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",0.10907119512557983,2,"ft","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3",0.25359368324279785,3,"ft","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4",0.15674340724945068,4,"ft","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0",0.03108746994184941,0,"ft","LightGBM 💡","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1",-0.11730296595819922,1,"ft","LightGBM 💡","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2",-0.006456006001175796,2,"ft","LightGBM 💡","","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","","nlp-srv2.iem.technion.ac.il","finished"
