"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9337923472454775","4","ft","TabPFN-v2 🤯","2026-04-04T23:02:24.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2018","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9240516175656484","4","all","TabPFN-v2 🤯","2026-04-04T23:00:49.000Z","MUL_TEXT_PRODUCT_SENTIMENT","233","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9357781621058152","4","ft","TabPFN-v2p5 🇩🇪","2026-04-04T22:59:32.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2005","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9258964285501168","4","all","TabPFN-v2p5 🇩🇪","2026-04-04T22:59:06.000Z","MUL_TEXT_PRODUCT_SENTIMENT","214","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9321680762820296","4","ft","TabM Ⓜ️","2026-04-04T22:57:41.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2020","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9290707294474346","4","all","TabM Ⓜ️","2026-04-04T22:57:19.000Z","MUL_TEXT_PRODUCT_SENTIMENT","204","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9271657083681196","4","ft","CatBoost 😸","2026-04-04T22:56:55.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2023","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9136048037584668","4","all","CatBoost 😸","2026-04-04T22:55:58.000Z","MUL_TEXT_PRODUCT_SENTIMENT","211","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8959096261497367","4","ft","LightGBM 💡","2026-04-04T22:55:07.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2022","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9078050961979636","4","all","LightGBM 💡","2026-04-04T22:53:50.000Z","MUL_TEXT_PRODUCT_SENTIMENT","203","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9433518769510292","3","ft","TabPFN-v2 🤯","2026-04-04T22:53:41.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1809","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_3","0.928902521991286","3","all","TabPFN-v2 🤯","2026-04-04T22:53:35.000Z","MUL_TEXT_PRODUCT_SENTIMENT","345","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_3","0.945827464801522","3","ft","TabPFN-v2p5 🇩🇪","2026-04-04T22:51:14.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1801","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9325177912767344","3","all","TabPFN-v2p5 🇩🇪","2026-04-04T22:49:56.000Z","MUL_TEXT_PRODUCT_SENTIMENT","215","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9381544634126294","3","ft","TabM Ⓜ️","2026-04-04T22:46:00.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2020","e5-large"
