"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_0",0.9866843161457242,0,"all","CatBoost 😸","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_1",0.9853709146404264,1,"all","CatBoost 😸","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_2",0.9864228193395262,2,"all","CatBoost 😸","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_3",0.9871555806165604,3,"all","CatBoost 😸","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_4",0.986585884143256,4,"all","CatBoost 😸","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_0",0.8260646514478349,0,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_1",0.8390403753800852,1,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_2",0.7965898361501301,2,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_3",0.8248049813706907,3,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_4",0.8135711711179187,4,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_0",0.9873165344061888,0,"all","LightGBM 💡","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_1",0.9860503287213114,1,"all","LightGBM 💡","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_2",0.9864988322189452,2,"all","LightGBM 💡","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY_3",0.9871285872655384,3,"all","LightGBM 💡","","REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
