"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_0","0.8960308315438468","0","ft","TabPFN-v2 🤯","2026-04-04T13:28:45.000Z","BIN_TEXT_JIGSAW_TOXICITY","3584","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_4","0.9607709631802231","4","ft","TabPFN-v2 🤯","2026-04-04T12:41:36.000Z","BIN_TEXT_JIGSAW_TOXICITY","5827","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_4","0.8526968871663262","4","all","TabPFN-v2 🤯","2026-04-04T12:39:57.000Z","BIN_TEXT_JIGSAW_TOXICITY","906","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_4","0.9617399046771068","4","ft","TabPFN-v2p5 🇩🇪","2026-04-04T12:39:18.000Z","BIN_TEXT_JIGSAW_TOXICITY","5780","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_4","0.8676565582499695","4","all","TabPFN-v2p5 🇩🇪","2026-04-04T12:37:09.000Z","BIN_TEXT_JIGSAW_TOXICITY","898","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_4","0.9569301140033868","4","ft","TabM Ⓜ️","2026-04-04T12:32:43.000Z","BIN_TEXT_JIGSAW_TOXICITY","4843","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_4","0.8565442832451684","4","all","TabM Ⓜ️","2026-04-04T12:27:09.000Z","BIN_TEXT_JIGSAW_TOXICITY","861","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_4","0.9444910001920424","4","ft","CatBoost 😸","2026-04-04T12:23:15.000Z","BIN_TEXT_JIGSAW_TOXICITY","4829","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_4","0.8489367831142304","4","all","CatBoost 😸","2026-04-04T12:22:43.000Z","BIN_TEXT_JIGSAW_TOXICITY","861","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_4","0.943871226802144","4","ft","LightGBM 💡","2026-04-04T12:21:29.000Z","BIN_TEXT_JIGSAW_TOXICITY","4826","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_4","0.826738420712652","4","all","LightGBM 💡","2026-04-04T12:12:52.000Z","BIN_TEXT_JIGSAW_TOXICITY","854","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_3","0.9326672951692592","3","ft","TabPFN-v2 🤯","2026-04-04T12:10:09.000Z","BIN_TEXT_JIGSAW_TOXICITY","5340","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_3","0.8373967771783726","3","all","TabPFN-v2 🤯","2026-04-04T12:07:51.000Z","BIN_TEXT_JIGSAW_TOXICITY","918","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_3","0.93082979800625","3","ft","TabPFN-v2p5 🇩🇪","2026-04-04T12:07:18.000Z","BIN_TEXT_JIGSAW_TOXICITY","5320","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_3","0.8416719041882714","3","all","TabPFN-v2p5 🇩🇪","2026-04-04T12:06:09.000Z","BIN_TEXT_JIGSAW_TOXICITY","916","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_3","0.9316285200509786","3","ft","TabM Ⓜ️","2026-04-04T11:58:44.000Z","BIN_TEXT_JIGSAW_TOXICITY","4066","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_3","0.8420014315892386","3","all","TabM Ⓜ️","2026-04-04T11:55:37.000Z","BIN_TEXT_JIGSAW_TOXICITY","868","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_3","0.9241214057507988","3","ft","CatBoost 😸","2026-04-04T11:55:14.000Z","BIN_TEXT_JIGSAW_TOXICITY","4049","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_3","0.8212346584262993","3","all","CatBoost 😸","2026-04-04T11:52:41.000Z","BIN_TEXT_JIGSAW_TOXICITY","873","e5-large"
