"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_0",0.7905463156748517,0,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_1",0.8062216258284701,1,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_2",0.8026967622173031,2,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_3",0.8042955618727632,3,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_4",0.7944189353550245,4,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_0",0.7938072295508407,0,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_1",0.7930994765051943,1,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_2",0.792308469813494,2,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_3",0.8064529003197548,3,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_4",0.7879513294353143,4,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_0",0.7822473554810291,0,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_1",0.7980709162341473,1,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_2",0.7949662656076653,2,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_3",0.7977843308562139,3,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY_4",0.7856407408346676,4,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY","","nlp-srv2.iem.technion.ac.il","finished"
