"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.4329762760659252,0,"all","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.3200011924572012,1,"all","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5194370211780173,2,"all","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.4576583709260627,3,"all","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5113170716235496,4,"all","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.43195919846964226,0,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.4222515695173531,1,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5269148459274757,2,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.4695054455669935,3,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5333752106610872,4,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.3866228871648079,0,"all","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.281273428502964,1,"all","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.498852576196388,2,"all","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.4787412886514757,3,"all","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.459201611990068,4,"all","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.40328588160702084,0,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.3522403755253608,1,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.3879240482023415,2,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.48145390821715783,3,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.4800190625384123,4,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.4241420684810875,0,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.2482737730757155,1,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.4897177003720772,2,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.4213044673925733,3,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.4249235735223832,4,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.4879350797801113,0,"all","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.3791543543198586,1,"all","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.562176617932479,2,"all","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.535913066799121,3,"all","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5635243858324861,4,"all","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.5135754342861301,0,"all","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.422686677994888,1,"all","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5178545711307607,2,"all","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.5108190291155579,3,"all","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5304162206331227,4,"all","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.4430629551611806,0,"all","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.3445465959629382,1,"all","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5075260184914228,2,"all","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.544939127875638,3,"all","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5428208769764165,4,"all","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.4667078967428896,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.4010912211930103,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5665311931268151,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.5462726087769592,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5868722048601017,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.3286901536709804,0,"all","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.1814508409011969,1,"all","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.4370004141902949,2,"all","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.3525369976789112,3,"all","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.3798192018888222,4,"all","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.45016489655385017,0,"ft","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.3343448255822038,1,"ft","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.49630151293426217,2,"ft","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.4751555252993952,3,"ft","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5070929487980231,4,"ft","CatBoost 😸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.468543198506546,0,"ft","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.34017249443861963,1,"ft","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.49592475260822433,2,"ft","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.46382542018962314,3,"ft","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5469027253352031,4,"ft","TabDPT 6️⃣","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.3747827751147116,0,"ft","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.3091189991643083,1,"ft","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.45221773539140986,2,"ft","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.4693311166544972,3,"ft","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.4377323724044956,4,"ft","LightGBM 💡","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.39580503163802316,0,"ft","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.37330431095407346,1,"ft","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.339327313181214,2,"ft","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.4113997287728268,3,"ft","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5032429339687734,4,"ft","RealMLP 🕸","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.42530211744705126,0,"ft","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.3401569922179434,1,"ft","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.4753330756977153,2,"ft","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.44955184985065444,3,"ft","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.44069546275384974,4,"ft","RandomForest 🌳","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.4807941326094688,0,"ft","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.3783092095375524,1,"ft","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5324099048906143,2,"ft","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.5290928975746502,3,"ft","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5463529572501515,4,"ft","TabICLv2 🗼","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.501813911232172,0,"ft","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.40345034624938125,1,"ft","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5054096208612693,2,"ft","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.4867758153730859,3,"ft","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.48685684411336216,4,"ft","TabM Ⓜ️","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.48213364293273964,0,"ft","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.36515538421608007,1,"ft","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5168156540816451,2,"ft","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.5236762982692422,3,"ft","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5250241144241352,4,"ft","TabPFN-v2 🤯","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.4949054198635995,0,"ft","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.40116558583062967,1,"ft","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.5366430622749605,2,"ft","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.5471260919310617,3,"ft","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.5624582982557349,4,"ft","TabPFN-v2p5 🇩🇪","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_0",0.3585621368738727,0,"ft","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_1",0.33850157693982164,1,"ft","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_2",0.4178866070661713,2,"ft","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_3",0.43879489003253147,3,"ft","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_SOCIAL_KOREAN_DRAMA_4",0.4399649006065949,4,"ft","XGBoost 🌲","","REG_TEXT_SOCIAL_KOREAN_DRAMA","","nlp-srv2.iem.technion.ac.il","finished"
