price_usd_log10,CARD_TEXT,TYPE,CMC,NUMBER_OF_EDITIONS,power,toughness,first_edition_year,RARITY,COLOR_PIE
-0.37675070960209955,"{1}: This card's name becomes the card name of your choice. Activate anywhere, anytime.",Creature — Shapeshifter,2.0,1,1.0,1.0,2004.0,Uncommon,U
-1.3979400086720375,Equipped creature gets +2/+2. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.),Artifact — Equipment,2.0,1,,,2021.0,Common,W
-1.2218487496163564,"Flying When this creature enters, you take the initiative.",Creature — Bird Rogue,4.0,1,1.0,4.0,2022.0,Common,U
-1.5228787452803376,Creatures you control get +2/+0 and gain alpha strike until end of turn. (A creature with alpha strike has first strike as long as it's blocking or being blocked by a creature that comes after it alphabetically.),Sorcery,3.0,1,,,2022.0,Common,R
-0.744727494896694,"When Aatchik enters, create a 1/1 green Insect creature token for each artifact and/or creature card in your graveyard. Whenever another Insect you control dies, put a +1/+1 counter on Aatchik. Each opponent loses 1 life.",Legendary Creature — Insect Druid,6.0,1,3.0,3.0,2025.0,Rare,BG
-1.3979400086720375,This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.,Land,0.0,1,,,2024.0,Common,UW
-1.0,"This land enters tapped. {T}: Add {W}. {T}, Sacrifice this land: Add one mana of any color.",Land,0.0,1,,,2001.0,Common,W
-0.8538719643217619,"You may cast spells that have a cycling ability from your graveyard. If a card that has a cycling ability would be put into your graveyard from anywhere and it wasn't cycled, exile it instead.",Artifact,3.0,1,,,2020.0,Rare,Colorless
-0.494850021680094,"As an additional cost to cast this spell, discard X cards. Look at target opponent's hand and choose X cards from it. That player discards those cards.",Sorcery,2.0,1,,,1997.0,Uncommon,B
-1.0969100130080565,"Up to two target creatures each get +1/+0 and gain first strike until end of turn. (They deal combat damage before creatures without first strike.) Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",Instant,3.0,1,,,2016.0,Uncommon,R
-1.6989700043360187,Up to two target creatures can't block this turn. Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),Sorcery,2.0,1,,,2021.0,Common,R
-0.5686362358410126,"First strike Whenever a creature dealt damage by this creature this turn dies, you gain life equal to that creature's toughness.",Creature — Zombie,4.0,1,3.0,2.0,2016.0,Uncommon,B
-1.154901959985743,"Flying, vigilance",Creature — Griffin,4.0,1,2.0,2.0,2011.0,Common,W
-1.0,"{W}, {T}: This creature gets +0/+3 until end of turn.",Creature — Human Cleric,3.0,1,1.0,3.0,1995.0,Common,W
-0.7958800173440752,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) When this creature enters, exile the top card of your library. Until end of turn, you may play that card.",Creature — Human Monk,2.0,1,2.0,1.0,2022.0,Rare,R
-1.154901959985743,"When Abdel Adrian enters, exile any number of other nonland permanents you control until Abdel Adrian leaves the battlefield. Create a 1/1 white Soldier creature token for each permanent exiled this way. Choose a Background (You can have a Background as a second commander.)",Legendary Creature — Human Warrior,5.0,1,4.0,4.0,2022.0,Uncommon,W
-0.3979400086720376,"Enchant creature When this Aura enters, untap enchanted creature. You control enchanted creature. When enchanted creature dies, return that card to the battlefield under its owner's control.",Enchantment — Aura,4.0,1,,,1999.0,Uncommon,U
0.5514499979728752,"Ravenous (This creature enters with X +1/+1 counters on it. If X is 5 or more, draw a card when it enters.) Trample Heavy Power Hammer — Whenever this creature deals combat damage to a player, destroy target artifact or enchantment that player controls.",Creature — Tyranid Mutant,2.0,1,0.0,0.0,2022.0,Uncommon,G
-1.2218487496163564,"Psionic Spells — When this creature enters, choose target instant or sorcery card in your graveyard, then roll a d20. 1—9 | You may put that card on top of your library. 10—20 | Return that card to your hand.",Creature — Human Elf Shaman,5.0,1,3.0,4.0,2021.0,Uncommon,U
-1.3979400086720375,,Creature — Human Insect // Creature — Insect Horror,4.0,1,,,2025.0,Uncommon,U
0.9731278535996987,"Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities. Draw a card.",Instant,2.0,1,,,1997.0,Rare,W
1.2041199826559248,"As an additional cost to cast this spell, exile six cards from your graveyard. Flying At the beginning of each opponent's upkeep, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",Creature — Eye,3.0,1,5.0,5.0,2024.0,Mythic,U
-0.2924298239020636,"Flying When this creature enters, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.) At the beginning of your upkeep, sacrifice a creature.",Creature — Demon,7.0,1,6.0,6.0,2013.0,Rare,B
-0.8538719643217619,"At the beginning of your end step, choose one — • You gain 1 life. • Return target creature card with mana value 1 from your graveyard to the battlefield.",Enchantment,3.0,1,,,2021.0,Uncommon,W
0.2787536009528289,"As an additional cost to cast this spell, sacrifice a blue permanent. Counter target spell.",Instant,1.0,1,,,1997.0,Common,U
-1.154901959985743,"Until end of turn, target creature gets +2/+0 and gains 'When this creature dies, return it to the battlefield tapped under its owner's control.'",Instant,2.0,1,,,2018.0,Common,B
0.4983105537896005,"Flash Ward {2} Probing Telepathy — Whenever a creature entering under an opponent's control causes a triggered ability of that creature to trigger, you may copy that ability. You may choose new targets for the copy.",Creature — Fish Horror,3.0,1,2.0,3.0,2022.0,Rare,U
-0.28399665636520083,You may discard a Plains card rather than pay this spell's mana cost. Destroy target artifact or enchantment.,Instant,3.0,1,,,2010.0,Uncommon,W
-0.9208187539523752,"Trample Abominable Treefolk's power and toughness are each equal to the number of snow permanents you control. When this creature enters, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",Snow Creature — Treefolk,4.0,1,,,2019.0,Uncommon,GU
-0.769551078621726,"Whenever this creature blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.",Creature — Horror,5.0,1,2.0,6.0,1995.0,Uncommon,B
-1.5228787452803376,"Flying Whenever this creature deals combat damage to a player, you may draw a card. If you do, discard a card. Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",Creature — Horror,6.0,1,3.0,4.0,2014.0,Common,BGU
-0.5086383061657274,Vigilance; menace (This creature can't be blocked except by two or more creatures.) Abomination of Llanowar's power and toughness are each equal to the number of Elves you control plus the number of Elf cards in your graveyard.,Legendary Creature — Elf Horror,3.0,1,,,2021.0,Uncommon,BG
0.09691001300805642,"Cumulative upkeep—Put a -1/-1 counter on this creature. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",Creature — Elemental,6.0,1,9.0,9.0,1997.0,Rare,G
-0.14266750356873156,Tap an untapped Octopus you control: Tap target permanent. {U}{U}{U}: Tap all creatures without flying.,Legendary Creature — Octopus Noble,6.0,1,3.0,3.0,2001.0,Rare,U
-0.721246399047171,Enchant creature Enchanted creature has flying. Threshold — Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.),Enchantment — Aura,1.0,1,,,2001.0,Common,U
-0.8860566476931632,Switch target creature's power and toughness until end of turn.,Instant,1.0,1,,,1999.0,Common,R
-1.0457574905606752,Choose one — • Abrade deals 3 damage to target creature. • Destroy target artifact.,Instant,2.0,1,,,2025.0,Uncommon,R
-0.8860566476931632,"This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {R} or {W}.",Land — Desert,0.0,1,,,2024.0,Common,RW
0.3344537511509309,This spell can't be countered. Destroy target nonland permanent with mana value 3 or less.,Instant,2.0,1,,,2017.0,Rare,BG
-0.3467874862246563,All creatures have protection from black.,Enchantment,2.0,1,,,1998.0,Uncommon,W
-0.3565473235138126,All creatures have protection from red.,Enchantment,2.0,1,,,1998.0,Uncommon,W
0.5327543789924978,"This spell can't be countered. Flying You have protection from each of your opponents. (You can't be dealt damage, enchanted, or targeted by anything controlled by your opponents.)",Legendary Creature — Avatar Warrior,8.0,1,8.0,8.0,2025.0,Mythic,UW
-1.3010299956639813,"Haunt (When this creature dies, exile it haunting target creature.) When this creature enters or the creature it haunts dies, destroy target enchantment.",Creature — Thrull Cleric,4.0,1,2.0,3.0,2006.0,Common,W
-1.5228787452803376,"Flying When this creature enters, all suspected creatures are no longer suspected. When this creature dies, you gain 3 life and suspect up to one target creature an opponent controls. (A suspected creature has menace and can't block.)",Creature — Lammasu,5.0,1,4.0,3.0,2024.0,Uncommon,W
-0.619788758288394,Counter target spell. You gain 3 life.,Instant,3.0,1,,,2023.0,Rare,UW
-0.6020599913279624,Return target creature to its owner's hand. You may have Shapeshifters you control become copies of that creature until end of turn.,Instant,2.0,1,,,2021.0,Uncommon,U
-1.2218487496163564,"Target player loses 4 life and you gain 4 life. Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",Sorcery,7.0,1,,,2016.0,Common,B
0.21218760440395779,"{T}: Add {C}. {1}, {T}: Add one mana of any color. {3}, {T}, Exile Abstergo Entertainment: Return up to one target historic card from your graveyard to your hand, then exile all graveyards. (Artifacts, legendaries, and Sagas are historic.)",Legendary Land,0.0,1,,,2024.0,Rare,Colorless
-1.154901959985743,"Whenever you cast a spell, note the first letter of its artist's name. If that letter wasn't already noted, put a +1/+1 counter on this creature.",Creature — Art Lizard,2.0,1,1.0,1.0,2020.0,Uncommon,R
-0.721246399047171,"Devoid (This card has no color.) Exile target nonland permanent. You may cast that card for as long as it remains exiled, and you may spend colorless mana as though it were mana of any color to cast that spell.",Instant,4.0,1,,,2024.0,Rare,BW
0.26245108973042947,"Vigilance {1}, {T}: Copy target activated or triggered ability you control from a colorless source. You may choose new targets for the copy. (Mana abilities can't be targeted.)",Creature — Avatar,4.0,1,3.0,4.0,2023.0,Rare,Colorless
-1.3010299956639813,Devoid (This card has no color.) Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has 'Sacrifice this token: Add {C}.' ({C} represents colorless mana.),Instant,3.0,1,,,2016.0,Common,U
-0.8239087409443188,"Flying, ward {2} {1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.",Legendary Creature — Spirit,3.0,1,2.0,2.0,2023.0,Rare,UW
-0.638272163982407,Return target artifact or non-Aura enchantment card from your graveyard to the battlefield with X additional +1/+1 counters on it. It's a 1/1 Spirit creature with flying in addition to its other types.,Sorcery,4.0,1,,,2023.0,Rare,W
-0.721246399047171,"When this creature dies, destroy all creatures blocking or blocked by it. They can't be regenerated.",Creature — Human,1.0,1,0.0,1.0,1995.0,Uncommon,W
-1.0969100130080565,{T}: Prevent the next 1 damage that would be dealt to any target this turn. {T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.,Creature — Cat Cleric,2.0,1,1.0,1.0,2010.0,Uncommon,W
-1.0969100130080565,Choose one — • You gain 5 life. • Prevent the next 5 damage that would be dealt to target creature this turn. Entwine {2} (Choose both if you pay the entwine cost.),Instant,4.0,1,,,2004.0,Common,W
-0.045757490560675115,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",Enchantment,4.0,1,,,2023.0,Rare,G
-1.0457574905606752,"Enchant land When this Aura enters, draw a card. Enchanted land has '{T}: Add one mana of any color.'",Enchantment — Aura,1.0,1,,,2025.0,Common,G
