"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_4","0.7440939465928752","4","2026-04-07T10:17:17.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","1089"
"light_BIN_IMAGE_HATEFUL_MEME_2","0.7608742810884598","2","2026-04-07T10:08:53.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","410"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_4","0.7475965735631029","4","2026-04-07T01:30:30.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","527"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_4","0.7622155438331015","4","2026-04-07T01:30:29.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","1056"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_4","0.7570092221734276","4","2026-04-07T01:30:28.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","526"
"tabm_BIN_IMAGE_HATEFUL_MEME_4","0.761371632954323","4","2026-04-07T01:30:27.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","507"
"cat_BIN_IMAGE_HATEFUL_MEME_4","0.7292606917423717","4","2026-04-07T01:30:27.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1046"
"tabm_BIN_IMAGE_HATEFUL_MEME_4","0.7610859201803165","4","2026-04-07T01:30:27.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","1046"
"cat_BIN_IMAGE_HATEFUL_MEME_4","0.7395675155157909","4","2026-04-07T01:30:26.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","504"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_3","0.7716123195115369","3","2026-04-07T01:30:25.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","1130"
"light_BIN_IMAGE_HATEFUL_MEME_4","0.719747514563415","4","2026-04-07T01:30:25.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1045"
"light_BIN_IMAGE_HATEFUL_MEME_4","0.7242765911291476","4","2026-04-07T01:30:25.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","499"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_3","0.766771075285316","3","2026-04-07T01:30:25.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","530"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_3","0.7843529928413078","3","2026-04-07T01:30:19.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","1135"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_3","0.788842387077317","3","2026-04-07T01:29:28.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","530"
"tabm_BIN_IMAGE_HATEFUL_MEME_3","0.7908794133364374","3","2026-04-07T01:29:25.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","1048"
"tabm_BIN_IMAGE_HATEFUL_MEME_3","0.786784196909011","3","2026-04-07T01:29:25.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","504"
"cat_BIN_IMAGE_HATEFUL_MEME_3","0.7596573563102841","3","2026-04-07T01:29:20.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1050"
"cat_BIN_IMAGE_HATEFUL_MEME_3","0.7411865545684944","3","2026-04-07T01:29:13.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","502"
